,input_dir,target_path,gen_path,ssim,mse
0,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/0_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/0_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/0_generated.png,0.313337976735514,7046.88037109375
1,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/1_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/1_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/1_generated.png,0.2810371651926519,7281.69384765625
2,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/2_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/2_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/2_generated.png,0.06475722884494113,8212.9111328125
3,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/3_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/3_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/3_generated.png,0.21952065763479842,5452.83056640625
4,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/4_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/4_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/4_generated.png,0.10483344621682189,6506.33544921875
5,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/5_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/5_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/5_generated.png,0.10631173689497077,7151.14892578125
6,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/6_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/6_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/6_generated.png,0.21007132904676298,3835.478515625
7,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/7_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/7_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/7_generated.png,0.19910170095445298,6179.2578125
8,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/8_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/8_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/8_generated.png,0.23640222645643813,7246.65087890625
9,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/9_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/9_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/9_generated.png,0.11509027480890417,8996.1552734375
10,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/10_input.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/10_target.png,/home/tejas/experimentations/image_enhancement/results/Gen//1/0/10_generated.png,0.23112637308126646,5698.48876953125
